Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q4,10 SHELFORD,11,4.58,6.01,6.51
2023Q4,18 WOODSVILLE,13,4.42,5.03,5.86
2023Q4,1919,9,5.83,6.15,6.59
2023Q4,26 NEWTON,11,6.19,6.56,6.98
2023Q4,368 THOMSON,11,4.24,4.59,4.99
2023Q4,6 DERBYSHIRE,11,5.77,6.45,6.73
2023Q4,76 SHENTON,2,7.21,7.36,7.67
2023Q4,8 @ MOUNT SOPHIA,9,4.97,5.08,5.31
2023Q4,8 BASSEIN,11,6.47,6.91,7.08
2023Q4,8 SAINT THOMAS,9,7.06,7.93,8.8
2023Q4,8@WOODLEIGH,13,4.97,5.14,6.64
2023Q4,A TREASURE TROVE,19,3.66,4.14,4.65
2023Q4,AALTO,15,4.84,5.0,5.22
2023Q4,AFFINITY AT SERANGOON,19,5.2,5.57,5.91
2023Q4,ALEX RESIDENCES,3,6.99,7.31,8.11
2023Q4,ALEXIS,3,5.91,6.65,7.7
2023Q4,ALTEZ,2,6.92,7.75,8.23
2023Q4,AMARYLLIS VILLE,11,5.45,5.86,6.01
2023Q4,AMBER RESIDENCES,15,4.52,4.92,4.98
2023Q4,AMBERGLADES,15,4.16,4.32,4.56
2023Q4,AQUARIUS BY THE PARK,16,3.57,3.67,3.91
2023Q4,ARCHIPELAGO,16,3.77,4.5,4.95
2023Q4,ARDMORE PARK,10,6.24,6.59,7.28
2023Q4,ARTRA,3,6.76,7.05,7.62
2023Q4,ASCENTIA SKY,3,5.01,5.42,5.98
2023Q4,ASPEN HEIGHTS,9,4.63,4.84,5.09
2023Q4,ASTOR GREEN,21,3.31,3.6,3.73
2023Q4,ASTORIA PARK,14,3.88,4.18,4.35
2023Q4,AVENUE SOUTH RESIDENCE,3,6.14,6.53,6.85
2023Q4,AVILA GARDENS,17,3.09,3.31,4.01
2023Q4,AZALEA PARK CONDOMINIUM,17,3.0,3.27,3.43
2023Q4,BALLOTA PARK CONDOMINIUM,17,2.81,2.89,3.08
2023Q4,BARTLEY RESIDENCES,19,4.54,4.89,6.27
2023Q4,BARTLEY RIDGE,13,4.88,5.24,6.48
2023Q4,BAYSHORE PARK,16,3.45,3.77,4.27
2023Q4,BEDOK RESIDENCES,16,5.1,5.41,6.1
2023Q4,BELLE VUE RESIDENCES,9,4.49,4.97,5.59
2023Q4,BIJOU,5,5.92,6.19,6.4
2023Q4,BLISS@KOVAN,19,3.94,4.55,5.26
2023Q4,BLUE HORIZON,5,4.41,4.54,4.69
2023Q4,BOATHOUSE RESIDENCES,19,4.16,4.24,4.46
2023Q4,BOTANIC GARDENS VIEW,10,3.95,4.21,4.27
2023Q4,BOTANIQUE AT BARTLEY,19,5.46,5.74,6.0
2023Q4,BULLION PARK,26,2.94,3.23,3.59
2023Q4,BURLINGTON SQUARE,7,5.21,5.48,5.63
2023Q4,CAIRNHILL CREST,9,5.06,5.31,5.38
2023Q4,CAIRNHILL NINE,9,7.74,8.03,8.75
2023Q4,CAIRNHILL PLAZA,9,3.3,3.45,3.65
2023Q4,CAIRNHILL RESIDENCES,9,5.43,5.78,6.17
2023Q4,CANBERRA RESIDENCES,27,3.89,4.15,4.56
2023Q4,CAPE ROYALE,4,5.07,5.25,5.68
2023Q4,CARABELLE,5,4.17,4.65,4.9
2023Q4,CARDIFF RESIDENCE,19,5.45,6.55,6.67
2023Q4,CARIBBEAN AT KEPPEL BAY,4,5.39,5.78,6.03
2023Q4,CARISSA PARK CONDOMINIUM,17,3.07,3.24,3.78
2023Q4,CASA CAMBIO,19,4.71,5.86,6.4
2023Q4,CASA MERAH,16,3.96,4.13,4.22
2023Q4,CASABLANCA,25,3.59,3.78,3.87
2023Q4,CASHEW HEIGHTS CONDOMINIUM,23,2.73,2.91,3.1
2023Q4,CASPIAN,22,4.1,4.62,5.11
2023Q4,CASTLE GREEN,26,3.46,3.62,3.8
2023Q4,CAVENDISH PARK,21,3.94,4.22,4.49
